flat_id,id,building_id,floor,is_apartment,kitchen_area,living_area,rooms,studio,total_area,build_year,building_type_int,latitude,longitude,ceiling_height,flats_count,floors_total,has_elevator,target
190.0,955,9833.0,6,0,6.0,29.0,2,0,44.900001525878906,1972,4,55.59780883789063,37.66095352172852,2.640000104904175,92,14,1,7200000
191.0,956,14984.0,22,0,10.0,33.0,2,0,57.09999847412109,1988,4,55.64037322998047,37.37053680419922,2.640000104904175,166,22,1,9000000
192.0,957,21101.0,10,0,12.899999618530272,33.70000076293945,2,0,60.0,2008,4,55.876590728759766,37.54828643798828,2.740000009536743,320,17,1,15900000
193.0,958,9087.0,11,0,8.5,32.0,2,0,47.09999847412109,1970,6,55.62333679199219,37.59425354003906,2.640000104904175,98,14,1,7750000
194.0,959,19752.0,10,0,7.900000095367432,18.899999618530277,1,0,37.400001525878906,2005,4,55.651004791259766,37.412593841552734,2.740000009536743,64,17,1,10800000
195.0,960,12747.0,13,0,8.0,19.0,1,0,36.0,1979,4,55.83626556396485,37.64252853393555,2.700000047683716,126,16,1,7500000
196.0,961,10157.0,5,0,10.0,18.0,1,0,35.0,1972,6,55.65471267700195,37.57807159423828,2.650000095367432,98,10,1,7900000
197.0,962,19745.0,5,0,0.0,0.0,1,0,40.0,2005,4,55.64714431762695,37.60375595092773,2.7799999713897705,184,24,1,10700000
200.0,965,12308.0,8,0,6.0,47.29999923706055,3,0,69.69999694824219,1978,4,55.60784530639648,37.53084182739258,2.640000104904175,600,9,1,11000000
201.0,966,10127.0,2,0,6.400000095367432,19.799999237060547,1,0,35.0,1972,4,55.88062286376953,37.56082534790039,2.640000104904175,287,9,1,5750000
202.0,967,16985.0,1,0,10.0,19.0,1,0,38.0,1997,4,55.88274383544922,37.64628219604492,2.640000104904175,215,14,1,8000000
203.0,968,22965.0,10,0,9.0,17.0,1,0,44.29999923706055,2015,2,55.56949996948242,37.469764709472656,2.799999952316284,471,17,1,9900000
204.0,969,12481.0,4,0,6.400000095367432,21.299999237060547,1,0,34.900001525878906,1978,4,55.89209747314453,37.62190246582031,2.640000104904175,209,12,1,9400000
205.0,970,10098.0,9,0,6.199999809265137,29.700000762939453,2,0,44.52999877929688,1972,4,55.86619567871094,37.69534683227539,2.640000104904175,98,14,1,8000000
206.0,971,22348.0,3,0,0.0,32.0,2,0,60.0,2013,2,55.60475158691406,37.664024353027344,2.700000047683716,289,11,1,11500000
207.0,972,23170.0,16,0,7.0,18.0,1,0,36.5,2015,4,55.60273361206055,37.367435455322266,2.740000009536743,462,17,1,5699000
210.0,974,16990.0,6,0,10.100000381469728,33.70000076293945,2,0,58.0,1997,4,55.89229583740234,37.65352249145508,2.640000104904175,134,17,1,13300000
211.0,975,6907.0,8,0,7.5,23.700000762939453,2,0,40.0,1966,6,55.88017272949219,37.64373016357422,2.640000104904175,70,9,1,9950000
212.0,976,11928.0,3,0,6.699999809265137,18.700000762939453,1,0,33.400001525878906,1977,4,55.59336471557617,37.53533172607422,2.640000104904175,602,9,1,8400000
213.0,977,22333.0,20,0,12.0,25.0,1,0,59.6,2013,2,55.59402084350586,37.344459533691406,2.799999952316284,126,21,1,8999000
214.0,978,11514.0,5,0,9.5,19.399999618530277,1,0,34.79999923706055,1975,6,55.89348602294922,37.66601943969727,2.640000104904175,98,14,1,8400000
215.0,979,13518.0,10,0,12.899999618530272,33.70000076293945,2,0,57.79999923706055,1982,4,55.62867736816406,37.48390197753906,2.640000104904175,255,16,1,16500000
216.0,980,12475.0,4,0,6.800000190734863,30.399999618530277,2,0,45.79999923706055,1978,4,55.883243560791016,37.595951080322266,2.5,378,12,1,12400000
