id,building_id,floor,is_apartment,kitchen_area,living_area,rooms,studio,total_area,build_year,building_type_int,latitude,longitude,ceiling_height,flats_count,floors_total,has_elevator,target
1216,10878.0,6,0,7.0,44.09999847412109,3,0,63.900001525878906,1974,4,55.78170776367188,37.48600387573242,2.640000104904175,143,12,1,17900000
1217,24496.0,21,0,12.0,18.5,1,0,41.0,2019,4,55.85961532592773,37.37243270874024,2.700000047683716,225,26,1,5950000
1218,6693.0,3,0,6.5,30.0,2,0,45.0,1966,4,55.86429977416992,37.44665145874024,2.640000104904175,159,5,0,10000000
1219,19899.0,12,0,10.0,51.59999847412109,3,0,80.80000305175781,2005,4,55.87037658691406,37.5599365234375,2.740000009536743,210,14,1,15750000
1220,3218.0,4,0,6.0,19.0,1,0,30.5,1960,1,55.76269912719727,37.67314147949219,2.700000047683716,104,5,0,14190000
1221,7924.0,5,0,6.0,44.29999923706055,3,0,60.0,1968,4,55.88970565795898,37.64846420288086,2.640000104904175,144,9,1,9990000
1222,8134.0,1,0,9.0,44.09999847412109,3,0,63.20000076293945,1969,0,55.78536605834961,37.734256744384766,2.640000104904175,84,12,1,10800000
1223,15180.0,17,0,10.199999809265137,33.70000076293945,2,0,58.20000076293945,1989,4,55.638484954833984,37.66665649414063,2.640000104904175,256,17,1,14900000
1224,13081.0,7,0,8.180000305175781,19.100000381469727,1,0,35.91999816894531,1980,4,55.825950622558594,37.8294563293457,2.640000104904175,123,16,1,8700000
1225,23833.0,5,0,14.100000381469728,28.0,2,0,58.0,2017,2,55.77066040039063,37.3752326965332,2.869999885559082,348,23,1,11200000
1226,6964.0,5,0,6.0,42.0,3,0,57.0,1967,1,55.73176956176758,37.53511428833008,2.700000047683716,433,10,1,17000000
1227,16154.0,2,0,12.0,45.0,2,0,70.0,1995,1,55.6827507019043,37.489356994628906,3.0,182,10,1,9990990
1228,4921.0,4,0,5.199999809265137,21.0,1,0,32.0,1963,4,55.653106689453125,37.56551361083984,2.640000104904175,71,9,1,6500000
1229,22472.0,2,0,11.0,44.0,2,0,74.0,2013,4,55.68293380737305,37.64542007446289,2.799999952316284,524,20,1,17900000
1230,9327.0,8,0,7.0,32.0,2,0,44.0,1971,4,55.59600067138672,37.60784530639648,2.5999999046325684,143,8,1,7550000
1231,9327.0,8,0,7.0,32.0,2,0,44.0,1971,4,55.59600067138672,37.60784530639648,2.5999999046325684,143,8,1,7450000
1232,11190.0,1,0,6.800000190734863,30.600000381469727,2,0,46.400001525878906,1975,4,55.613319396972656,37.72209930419922,2.5,382,12,1,8200000
1233,19315.0,9,0,11.0,34.29999923706055,2,0,66.0,2004,4,55.56510543823242,37.58113861083984,2.75,296,17,1,12650000
1234,15360.0,6,0,11.5,34.0,2,0,59.0,1990,4,55.56573867797852,37.5860481262207,2.640000104904175,328,17,1,10050000
1235,13565.0,3,0,9.0,30.0,2,0,53.0,1982,4,55.674598693847656,37.68916702270508,2.640000104904175,190,12,1,10400000
1236,11462.0,11,0,9.0,28.0,2,0,51.0,1975,6,55.66901779174805,37.58601379394531,2.4800000190734863,168,12,1,10500000
1237,12798.0,2,0,9.0,31.0,2,0,53.0,1979,4,55.87525939941406,37.662784576416016,2.640000104904175,286,12,1,9990000
1238,24270.0,2,0,16.0,25.0,2,0,42.0,2018,2,55.84968948364258,37.620906829833984,3.0,753,18,1,12500000
1239,18150.0,11,0,8.0,19.0,1,0,38.20000076293945,2001,4,55.654666900634766,37.39677429199219,2.740000009536743,246,17,1,7350000
1240,14379.0,12,0,9.0,53.0,3,0,81.0,1985,4,55.727142333984375,37.62234115600586,2.5999999046325684,130,14,1,27500000
1241,1584.0,1,0,7.300000190734863,16.899999618530273,1,0,32.0,1955,1,55.85063171386719,37.65779876708984,3.0,46,4,0,6700000
1242,19726.0,2,0,8.0,16.0,1,0,38.0,2005,4,55.54739761352539,37.566593170166016,2.640000104904175,166,11,1,6100000
1243,4741.0,6,0,11.699999809265137,21.799999237060547,1,0,49.09999847412109,1963,1,55.67621994018555,37.60065841674805,2.4800000190734863,102,17,0,5200000
1244,5571.0,4,0,5.0,27.0,2,0,44.0,1964,4,55.79310989379883,37.56734085083008,2.640000104904175,80,5,0,9900000
1245,3877.0,1,0,5.5,26.0,2,0,41.09999847412109,1961,4,55.67266082763672,37.55341339111328,2.640000104904175,80,5,0,10450000
1246,3514.0,1,0,5.5,30.5,2,0,45.0,1960,6,55.773834228515625,37.73589706420898,2.4800000190734863,56,5,0,11500000
1247,16583.0,6,0,10.100000381469728,44.79999923706055,3,0,73.80000305175781,1996,4,55.68613815307617,37.8498420715332,2.640000104904175,324,14,1,11100000
1248,13689.0,15,0,8.270000457763672,38.560001373291016,3,0,61.5,1982,4,55.883819580078125,37.60759353637695,2.640000104904175,212,16,1,10700000
1249,4203.0,3,0,6.0,20.0,1,0,32.0,1962,1,55.75928497314453,37.53912353515625,2.4800000190734863,60,5,0,8980000
1250,20672.0,13,0,0.0,0.0,2,0,61.5,2007,4,55.72403717041016,37.90748596191406,2.7799999713897705,368,24,1,6800000
1251,7770.0,21,0,8.0,0.0,2,0,55.0,1968,4,55.75313568115234,37.58909606933594,2.799999952316284,176,24,1,19000000
1252,20974.0,5,0,8.5,19.75,1,0,43.0,2008,4,55.50304412841797,37.59454727172852,2.700000047683716,180,10,1,6600000
1253,21723.0,18,0,13.100000381469728,48.70000076293945,3,0,80.0,2010,4,55.82752990722656,37.59360504150391,2.8499999046325684,285,18,1,25900000
1254,3229.0,5,0,5.769999980926514,42.0,3,0,56.66999816894531,1960,1,55.77528762817383,37.48710250854492,2.4800000190734863,79,5,0,12000000
1255,12526.0,14,0,10.0,18.700000762939453,1,0,37.0,1978,6,55.77741241455078,37.57145309448242,2.4800000190734863,108,16,1,8800000
1256,8531.0,12,0,6.5,23.399999618530277,2,0,40.0,1969,6,55.61950302124024,37.64677810668945,2.640000104904175,84,12,1,10150000
1257,19578.0,2,0,13.0,41.0,3,0,78.0,2005,2,55.68126678466797,37.582401275634766,2.799999952316284,107,17,1,21000000
1258,22459.0,14,0,9.699999809265137,18.799999237060547,1,0,38.0,2013,4,55.63973617553711,37.326690673828125,2.740000009536743,259,17,1,11000000
1259,2109.0,3,0,8.5,52.70000076293945,3,0,78.9000015258789,1958,1,55.6805534362793,37.56646728515625,3.0,138,8,1,26600000
